Id,Id2,census.tract,median_age,married,high_school_and_higher,mean_income,Unemployment_rate,median_rent
1400000US36061005900,36061005900,"Census Tract 59, New York County, New York",37.60,35.70,99.40,241196.00,2.80,1827.00
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",38.50,46.70,98.90,136492.00,8.20,2800.00
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",30.10,24.50,98.90,162870.00,5.50,2800.00
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",33.70,24.50,91.10,108331.00,7.60,2800.00
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",41.40,29.30,98.00,169487.00,5.90,2800.00
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",36.00,27.90,97.20,129101.00,4.10,2800.00
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",30.00,18.60,98.30,122618.00,4.90,2800.00
1400000US36061006600,36061006600,"Census Tract 66, New York County, New York",36.50,31.70,91.50,102443.00,4.50,1184.00
1400000US36061006700,36061006700,"Census Tract 67, New York County, New York",33.60,19.70,98.80,136699.00,7.60,2800.00
1400000US36061006800,36061006800,"Census Tract 68, New York County, New York",31.80,16.20,95.50,151741.00,9.20,2800.00
1400000US36061006900,36061006900,"Census Tract 69, New York County, New York",32.90,37.80,100.00,260858.00,3.40,2800.00
1400000US36061007000,36061007000,"Census Tract 70, New York County, New York",32.00,30.30,98.10,132412.00,4.10,2800.00
1400000US36061007100,36061007100,"Census Tract 71, New York County, New York",38.00,25.60,98.70,202400.00,4.70,2800.00
1400000US36061007200,36061007200,"Census Tract 72, New York County, New York",30.50,23.60,98.20,147158.00,5.20,2800.00
1400000US36061007300,36061007300,"Census Tract 73, New York County, New York",39.90,28.10,98.50,142270.00,5.60,1900.00
1400000US36061007400,36061007400,"Census Tract 74, New York County, New York",34.10,31.70,99.10,235318.00,5.70,2800.00
1400000US36061007500,36061007500,"Census Tract 75, New York County, New York",40.90,38.90,97.90,200389.00,8.50,2800.00
1400000US36061007600,36061007600,"Census Tract 76, New York County, New York",27.90,24.70,95.40,156102.00,4.80,2800.00
1400000US36061007700,36061007700,"Census Tract 77, New York County, New York",38.10,24.60,98.90,181536.00,3.90,2800.00
1400000US36061007800,36061007800,"Census Tract 78, New York County, New York",32.50,29.80,99.20,157804.00,7.40,2800.00
1400000US36061007900,36061007900,"Census Tract 79, New York County, New York",40.80,46.00,98.50,206027.00,7.20,2800.00
1400000US36061008000,36061008000,"Census Tract 80, New York County, New York",37.60,29.10,95.90,161265.00,6.50,2800.00
1400000US36061008100,36061008100,"Census Tract 81, New York County, New York",40.00,36.20,95.50,203875.00,5.40,1746.00
1400000US36061008200,36061008200,"Census Tract 82, New York County, New York",42.20,34.90,93.20,171654.00,4.50,2800.00
1400000US36061008300,36061008300,"Census Tract 83, New York County, New York",34.60,23.70,83.40,126115.00,9.50,944.00
1400000US36061008400,36061008400,"Census Tract 84, New York County, New York",30.50,23.80,97.10,161472.00,5.80,2800.00
1400000US36061008601,36061008601,"Census Tract 86.01, New York County, New York",30.40,40.10,97.40,167370.00,4.80,2800.00
1400000US36061008603,36061008603,"Census Tract 86.03, New York County, New York",57.30,49.70,98.90,260634.00,4.60,2800.00
1400000US36061008700,36061008700,"Census Tract 87, New York County, New York",33.50,32.70,95.20,206243.00,7.70,2800.00
1400000US36061008800,36061008800,"Census Tract 88, New York County, New York",36.90,35.20,99.40,135814.00,4.20,1941.00
1400000US36061008900,36061008900,"Census Tract 89, New York County, New York",37.40,23.00,94.90,185321.00,5.00,1685.00
1400000US36061009000,36061009000,"Census Tract 90, New York County, New York",35.90,35.00,96.20,175860.00,3.00,2800.00
1400000US36061009100,36061009100,"Census Tract 91, New York County, New York",39.40,28.90,95.50,181089.00,6.30,1828.00
1400000US36061009200,36061009200,"Census Tract 92, New York County, New York",33.40,25.30,97.20,162517.00,2.30,2800.00
1400000US36061009300,36061009300,"Census Tract 93, New York County, New York",40.30,35.30,92.80,177217.00,6.30,1599.00
1400000US36061009400,36061009400,"Census Tract 94, New York County, New York",84.30,78.80,100.00,68720.00,0.00,763.00
1400000US36061009500,36061009500,"Census Tract 95, New York County, New York",26.10,24.70,99.10,211787.00,8.70,2800.00
1400000US36061009600,36061009600,"Census Tract 96, New York County, New York",48.60,38.10,100.00,128789.00,0.00,1470.00
1400000US36061009700,36061009700,"Census Tract 97, New York County, New York",48.00,31.60,88.00,94043.00,13.00,863.00
1400000US36061009800,36061009800,"Census Tract 98, New York County, New York",38.70,32.40,97.30,187565.00,2.80,1919.00
1400000US36061009900,36061009900,"Census Tract 99, New York County, New York",33.10,22.70,96.80,202472.00,6.30,2800.00
1400000US36061010000,36061010000,"Census Tract 100, New York County, New York",37.50,30.40,95.00,157629.00,5.60,2800.00
1400000US36061010100,36061010100,"Census Tract 101, New York County, New York",35.30,28.80,92.10,192390.00,9.20,2800.00
1400000US36061010200,36061010200,"Census Tract 102, New York County, New York",37.90,79.60,97.60,115177.00,0.00,2800.00
1400000US36061010300,36061010300,"Census Tract 103, New York County, New York",33.20,20.20,96.20,107573.00,5.20,2800.00
1400000US36061010400,36061010400,"Census Tract 104, New York County, New York",52.10,38.50,99.50,160678.00,9.40,1895.00
1400000US36061010601,36061010601,"Census Tract 106.01, New York County, New York",60.00,56.10,97.50,285254.00,6.80,2800.00
1400000US36061010602,36061010602,"Census Tract 106.02, New York County, New York",38.10,49.90,99.60,167679.00,1.90,2800.00
1400000US36061010800,36061010800,"Census Tract 108, New York County, New York",42.50,41.60,100.00,187624.00,4.30,2800.00
1400000US36061010900,36061010900,"Census Tract 109, New York County, New York",33.30,31.80,99.40,155109.00,9.20,2800.00
1400000US36061011000,36061011000,"Census Tract 110, New York County, New York",35.00,42.70,99.40,187944.00,5.50,1961.00
1400000US36061011100,36061011100,"Census Tract 111, New York County, New York",31.20,18.50,92.80,126465.00,5.20,2800.00
1400000US36061011201,36061011201,"Census Tract 112.01, New York County, New York",53.80,32.90,100.00,280258.00,2.10,2800.00
1400000US36061011202,36061011202,"Census Tract 112.02, New York County, New York",53.70,48.20,96.10,360983.00,0.00,2800.00
1400000US36061011203,36061011203,"Census Tract 112.03, New York County, New York",38.10,31.30,98.90,231685.00,7.00,2800.00
1400000US36061011300,36061011300,"Census Tract 113, New York County, New York",29.70,2.70,73.40,178276.00,7.00,2800.00
1400000US36061011401,36061011401,"Census Tract 114.01, New York County, New York",45.10,62.80,94.90,346319.00,6.50,1930.00
1400000US36061011402,36061011402,"Census Tract 114.02, New York County, New York",49.10,48.80,98.60,244062.00,6.80,2800.00
1400000US36061011500,36061011500,"Census Tract 115, New York County, New York",34.00,23.90,90.60,147001.00,6.20,2800.00
1400000US36061011600,36061011600,"Census Tract 116, New York County, New York",33.40,35.90,98.90,111279.00,6.10,1277.00
1400000US36061011700,36061011700,"Census Tract 117, New York County, New York",32.30,25.40,96.30,135577.00,7.20,2800.00
1400000US36061011800,36061011800,"Census Tract 118, New York County, New York",38.00,43.60,99.60,214339.00,4.30,2800.00
1400000US36061011900,36061011900,"Census Tract 119, New York County, New York",59.60,10.20,73.20,25474.00,11.00,313.00
1400000US36061012000,36061012000,"Census Tract 120, New York County, New York",50.30,57.50,97.40,235592.00,3.60,2800.00
1400000US36061012100,36061012100,"Census Tract 121, New York County, New York",43.10,22.10,92.60,81940.00,7.70,1435.00
1400000US36061012200,36061012200,"Census Tract 122, New York County, New York",55.20,59.80,98.00,349899.00,0.70,2800.00
1400000US36061012400,36061012400,"Census Tract 124, New York County, New York",36.00,42.60,95.80,167720.00,2.30,2800.00
1400000US36061012500,36061012500,"Census Tract 125, New York County, New York",31.20,30.30,98.50,194029.00,2.90,2800.00
1400000US36061012600,36061012600,"Census Tract 126, New York County, New York",39.00,40.00,97.60,162526.00,2.90,1746.00
1400000US36061012700,36061012700,"Census Tract 127, New York County, New York",40.10,24.10,92.60,90047.00,10.30,1730.00
1400000US36061012800,36061012800,"Census Tract 128, New York County, New York",53.00,57.20,98.30,335341.00,7.30,2800.00
1400000US36061012900,36061012900,"Census Tract 129, New York County, New York",35.70,18.60,94.50,155017.00,10.20,2800.00
1400000US36061013000,36061013000,"Census Tract 130, New York County, New York",59.20,66.90,95.40,380318.00,3.90,1671.00
1400000US36061013100,36061013100,"Census Tract 131, New York County, New York",40.50,29.20,89.60,134655.00,5.10,2800.00
1400000US36061013200,36061013200,"Census Tract 132, New York County, New York",35.10,31.20,97.10,124069.00,4.90,1872.00
1400000US36061013300,36061013300,"Census Tract 133, New York County, New York",34.30,24.60,91.60,104963.00,5.40,2800.00
1400000US36061013400,36061013400,"Census Tract 134, New York County, New York",36.90,39.50,96.60,151750.00,5.50,1824.00
1400000US36061013500,36061013500,"Census Tract 135, New York County, New York",41.10,23.50,85.70,101960.00,8.30,1323.00
1400000US36061013600,36061013600,"Census Tract 136, New York County, New York",37.60,49.00,98.20,180315.00,4.20,1950.00
1400000US36061013700,36061013700,"Census Tract 137, New York County, New York",39.00,42.30,99.20,208502.00,4.50,2800.00
1400000US36061013800,36061013800,"Census Tract 138, New York County, New York",36.90,41.10,97.60,159896.00,7.80,2800.00
1400000US36061013900,36061013900,"Census Tract 139, New York County, New York",41.00,25.10,93.40,107450.00,5.80,1963.00
1400000US36061014000,36061014000,"Census Tract 140, New York County, New York",42.40,57.20,98.50,286622.00,4.40,2800.00
1400000US36061014200,36061014200,"Census Tract 142, New York County, New York",52.10,60.80,98.60,428067.00,3.20,2800.00
1400000US36061014401,36061014401,"Census Tract 144.01, New York County, New York",46.60,47.10,97.70,202487.00,5.90,2800.00
1400000US36061014402,36061014402,"Census Tract 144.02, New York County, New York",40.10,50.10,98.60,179973.00,3.60,1973.00
1400000US36061014500,36061014500,"Census Tract 145, New York County, New York",40.00,41.10,99.80,249178.00,3.30,2800.00
1400000US36061014601,36061014601,"Census Tract 146.01, New York County, New York",33.00,36.90,97.40,139861.00,3.00,2800.00
1400000US36061014602,36061014602,"Census Tract 146.02, New York County, New York",35.30,36.00,99.20,141743.00,2.90,2800.00
1400000US36061014700,36061014700,"Census Tract 147, New York County, New York",33.50,57.50,98.90,210488.00,5.20,2800.00
1400000US36061014801,36061014801,"Census Tract 148.01, New York County, New York",38.60,59.80,98.00,321624.00,2.10,2800.00
1400000US36061014802,36061014802,"Census Tract 148.02, New York County, New York",38.60,47.80,98.00,213802.00,2.90,1984.00
1400000US36061014900,36061014900,"Census Tract 149, New York County, New York",45.50,48.70,97.50,238642.00,6.10,2800.00
1400000US36061015001,36061015001,"Census Tract 150.01, New York County, New York",51.20,51.70,99.40,264976.00,2.90,2800.00
1400000US36061015002,36061015002,"Census Tract 150.02, New York County, New York",55.20,64.10,98.30,337143.00,4.00,2800.00
1400000US36061015100,36061015100,"Census Tract 151, New York County, New York",36.80,29.40,86.70,128486.00,6.40,1643.00
1400000US36061015200,36061015200,"Census Tract 152, New York County, New York",43.30,35.80,86.70,124644.00,8.20,1102.00
1400000US36061015300,36061015300,"Census Tract 153, New York County, New York",40.70,44.70,98.50,207822.00,9.20,2800.00
1400000US36061015400,36061015400,"Census Tract 154, New York County, New York",38.20,40.40,91.30,112665.00,6.10,1770.00
1400000US36061015500,36061015500,"Census Tract 155, New York County, New York",42.70,51.20,99.70,159717.00,6.70,2800.00
1400000US36061015601,36061015601,"Census Tract 156.01, New York County, New York",32.80,29.30,98.70,118558.00,6.10,2800.00
1400000US36061015602,36061015602,"Census Tract 156.02, New York County, New York",38.30,31.30,74.70,71852.00,10.00,950.00
1400000US36061015700,36061015700,"Census Tract 157, New York County, New York",40.90,39.00,98.60,175195.00,5.10,1893.00
1400000US36061015801,36061015801,"Census Tract 158.01, New York County, New York",39.40,43.50,97.30,279726.00,6.10,2800.00
1400000US36061015802,36061015802,"Census Tract 158.02, New York County, New York",30.20,30.80,97.70,142380.00,5.20,2800.00
1400000US36061015900,36061015900,"Census Tract 159, New York County, New York",43.20,42.90,99.40,194361.00,3.20,2800.00
1400000US36061016001,36061016001,"Census Tract 160.01, New York County, New York",47.70,59.80,99.70,410058.00,6.50,2800.00
1400000US36061016002,36061016002,"Census Tract 160.02, New York County, New York",32.70,36.80,93.50,213402.00,4.90,1497.00
1400000US36061016100,36061016100,"Census Tract 161, New York County, New York",38.00,37.60,98.50,179835.00,5.80,2800.00
1400000US36061016200,36061016200,"Census Tract 162, New York County, New York",35.40,24.50,70.90,35529.00,21.20,748.00
1400000US36061016300,36061016300,"Census Tract 163, New York County, New York",41.60,39.00,98.00,238412.00,4.20,1916.00
1400000US36061016400,36061016400,"Census Tract 164, New York County, New York",34.40,29.20,73.10,81593.00,11.60,888.00
1400000US36061016500,36061016500,"Census Tract 165, New York County, New York",43.80,49.70,96.80,233335.00,4.10,1850.00
1400000US36061016600,36061016600,"Census Tract 166, New York County, New York",31.80,26.70,74.60,61065.00,10.90,1149.00
1400000US36061016700,36061016700,"Census Tract 167, New York County, New York",41.70,52.70,98.50,210488.00,5.40,2800.00
1400000US36061016800,36061016800,"Census Tract 168, New York County, New York",37.60,21.60,68.50,70707.00,20.30,615.00
1400000US36061016900,36061016900,"Census Tract 169, New York County, New York",40.60,47.80,97.00,160589.00,6.90,1993.00
1400000US36061017000,36061017000,"Census Tract 170, New York County, New York",45.60,29.20,72.80,48299.00,11.80,1040.00
1400000US36061017100,36061017100,"Census Tract 171, New York County, New York",41.70,38.80,94.50,204090.00,4.80,1904.00
1400000US36061017200,36061017200,"Census Tract 172, New York County, New York",32.60,22.20,67.90,51234.00,12.00,1016.00
1400000US36061017300,36061017300,"Census Tract 173, New York County, New York",40.10,47.80,92.00,175391.00,4.40,1560.00
1400000US36061017401,36061017401,"Census Tract 174.01, New York County, New York",43.00,22.90,75.50,50775.00,13.80,813.00
1400000US36061017402,36061017402,"Census Tract 174.02, New York County, New York",28.10,19.90,87.60,58611.00,12.20,1446.00
1400000US36061017500,36061017500,"Census Tract 175, New York County, New York",43.20,50.80,96.00,204708.00,4.80,1929.00
