name,address,lat,lng,id,place_id
Admiral Triangle Park,"Hamilton Avenue, Brooklyn",40.6769466,-74.0010919,f4478e70436affbf8689ac6e3d2316a94d8f84f7,ChIJcafH2_VawokR59GCyhJu8k0
Aesop Park,"Bartow Avenue, Staten Island",40.5095001,-74.2299464,40c1188c94cfdfbf3e0e8138ce73592848fd1036,ChIJPxOLKKbKw4kRWc9dX8F1V8c
Africa Serendipity,"1670 York Avenue, New York",40.7770194,-73.9459925,46b902224054174273e02f214e3bb6cd6c0eb450,ChIJeRxi9bBYwokRulGrfVB0mDU
African Burial Ground National Monument,"290 Broadway, New York",40.7144777,-74.0043587,e2db8abe6e68bf497b20ce0df15c8e0a0709ad86,ChIJM3a4kCFawokRDRxdeYJQgnE
Africus Parks,"614 8th Avenue, New York",40.7556428,-73.9905955,a696b72139edf138c4be159a50d8b97fb644a1ca,ChIJCzvmzqxZwokR8hd-nsCJI0k
Agnes Haywood Playground,"Barnes Avenue, Bronx",40.8803982,-73.8615704,53bfdd2877a03b7416961cde9364d3bd09e810e3,ChIJpW5RhT7zwokR3An-ITLc6S4
Ahern Park,"10002, 465 Grand Street, New York",40.7147539,-73.9839962,d17de5cb2714dbc35044fb00fe0909b4b7bf1f84,ChIJsVrgsypawokRjuyQw4405Bs
Albert Capsouto Park,New York,40.7219998,-74.00605,1fe192401810dab368c985b0d11ce71984075d3a,ChIJcwaRMItZwokRcUerenHZUpo
Albert's Garden,"16 East 2nd Street, New York",40.7253933,-73.9910376,709fdf4231b44944e6595a1efb63636af22ee1b1,ChIJv0mpwoRZwokRbK2G_JPNftg
Alexander Hamilton Playground,"Hamilton Place, New York",40.8230268,-73.9513202,4a778c8d37b156bab6ff1af0c4eb04d69bf72690,ChIJKdd4W2T2wokRknKQeZy3ntk
All People's Garden,"293 East 3rd Street, New York",40.7214475,-73.9795594,d8b48f6e7144506ab6926c33b06d3580bd0358fa,ChIJOwQQGXlZwokRcxZJQzxW6v0
Allen Malls,"161 East Houston Street, New York",40.7227803,-73.9890863,48f85bf70e6c3bf801fd39ea17a94f88ed9dbda7,ChIJIyvTi4NZwokRiV4nV_IWMdE
Allerton Playground,"Allerton Avenue, Bronx",40.8658831,-73.8505441,7095c5ea2881dfeaf48fb5efbc2c4c8bc257fed4,ChIJ2wWlS07zwokRdTu_0Sd5fTo
Allerton skatepark,Bronx,40.8671647,-73.8714004,83963339aa20e65d360fd745b00d2d438c57c01c,ChIJNYHg_WXzwokRjPIY3TEcRdg
Alley Athletic Playground,"Winchester Boulevard, Hollis",40.7400174,-73.735282,af7a7952aeefc98a5e0f60607f432773d6c13087,ChIJKVSfBBhiwokRWIpMizKICwo
Alley Pond Park,"Little Neck Bay, Queens",40.747316,-73.7429555,c3725e46d2c2ea92faa36a42437782f479fa7ff3,ChIJzyx69P9hwokRMP73UTW2hTA
Alley Pond Ropes Course,Queens,40.7424167,-73.7384128,17328864ca7bd5a64dce2b05f8a17b8d2e7e41fe,ChIJm_XhrBliwokRb94HlDxDNrE
America-Israel Friendship Grove,Corona,40.7471046,-73.8459617,5569c5dc8183f44517c1974ee21aa994beb5c6a3,ChIJNwJ5vNlfwokR4Jz2EFuLXXc
American Heart Garden,"Hart Street, Brooklyn",40.6933058,-73.946774,e64320096e02d92360efa9e339c35de2e4c9654a,ChIJXUpGYvJbwokR8PqAHsZ3xG8
American Park Section 1 Co-Op,"2555 Batchelder Street, Brooklyn",40.5903327,-73.9367595,6497328954066a5655ca7d9c6edd1669e4a6f596,ChIJ252rB4BEwokRHeeoIh4kSDM
American Playground,"389 Milton Street, Brooklyn",40.7288257,-73.9578409,6d85ede9d1621c6dfdaedea1b0fd9f85e75403e3,ChIJEZTfskFZwokRVRYWnMmva6s
American Triangle,"102nd Street, Corona",40.748427,-73.8633622,663574d08e17103a8643172699c93e45104798ce,ChIJpw362sdfwokR5vBi3vSoUyo
Amersfort Park,"East 38th Street, Brooklyn",40.6287886,-73.9391049,1d318d32d966b0be4bd24bf81794234d7850cfc2,ChIJibVyHqtEwokR1f4zBnk70uI
Ancient playground,New York,40.7807557,-73.9616122,6f1f1efa1bf98cace132b1286f3cfefb071ac3a0,ChIJJ_VKl5dYwokRUnH5x7Ky4sI
Andrew Haswell Green Dog Park,"Bobby Wagner Walk & E 63rd Street Pedestrian Bridge, New York",40.7602215,-73.9568696,9416b2b300fdd84826c8ff16492d1c07b06f166c,ChIJpyBwId1YwokRyZhy96bLFDY
Andrews Grove,"49th Avenue, Long Island City",40.7434498,-73.9548102,f4422005f9cc4decab7cea7e307dfd574d4700d1,ChIJU0mtdiNZwokRYjOvi3aXWUE
Andries Playground,"Nostrand Avenue, Brooklyn",40.6230271,-73.9464526,d255aa7b462413d6dc50d11d4858f4e6ea04bb82,ChIJw8Qqx69EwokRv5Be3w0o5Fs
Annadale Green,"Annadale Road, Staten Island",40.5414328,-74.1776667,02880db04102ccdb48df2ee83cce631e5f0e2340,ChIJg_LCPPxKwokR-DnYBKUIpek
Annadale Playground,"64th Road, Rego Park",40.7312764,-73.8516467,99e6092f2745d5d5543d6dd6c5a83ac627e67789,ChIJgS2udi5ewokRIYWNo1sqqXo
Anne Loftus Playground (BarStarzz),"4746 Broadway, New York",40.8651603,-73.927688,0927624f05a20fbc6f5e720484643e80c565f35a,ChIJ-cW3fAf0wokRmOni1IFiO9w
Arbor Place,Brooklyn,40.6960219,-73.9805695,bbabd51dc44e82425f2c2cceee038098de9d088a,ChIJGwuShcpbwokR0qrUrNNI0qQ
Arbutus Woods Park,"Stecher Street, Staten Island",40.5287504,-74.1850969,1ebbdce630f70aa96260f6e580db7248b50d0ebd,ChIJocCKqe1KwokRy0p2dTzJ93U
Archangel Botanica,"295 East 170th Street, Bronx",40.8377435,-73.9107002,065fc449e2f9f52f6de24ee9ec7abac8eb21a98a,ChIJ8Y7cPkf0wokRs8O7GXFgANA
Arrow Park LLC,"1003 East 5th Street, Brooklyn",40.6269947,-73.9721971,9f85e10ba034d52a89029858fd4607b591cc32a1,ChIJrexMMNBEwokRe1uyYvUiewo
Arthur Ross Pinetum,"84th and 86th 79th Street Transverse, New York",40.7834001,-73.966661,810e541b05bf1684e5b4151c50e64cb80415540b,ChIJsw-uFJpYwokR5x3yq9tDzEM
Arverne Playground,"Arverne Boulevard, Arverne",40.5928473,-73.7851084,e964f8a226b4b18571c14243843cf830986568f6,ChIJT5Bf2o1owokRIN6AbYobqCQ
Ascenzi Square,Brooklyn,40.7144536,-73.9569684,f0d075a244f0e2030e08bb140c3ad2614e9bfb6b,ChIJpXOgVF5ZwokRFR0sMBcAwXk
Asser Levy Recreation Center,"392 Asser Levy Place, New York",40.7361338,-73.9756491,c10dbdeb44379fb4d967ed55796a7f406a2bcbd7,ChIJTUlY7QxZwokR4_QF5mlorBs
Astoria Health Playground,Astoria,40.7679155,-73.9325837,b20fc0129b1d763c3e54479cf91879c0471ea039,ChIJ-Zs_eUpfwokRr2oo6F_uIzA
Astoria Park,"19th Street, Astoria",40.7796684,-73.9215888,e32486c0c25fd7387d5dd89f678197cc75d04e3d,ChIJhTKnW1pfwokRybwkvof4QWs
Astro's Dog Run,New York,40.7580784,-73.9970748,9aba0cebb3f8c9438990033765e843a64c71361f,ChIJG7Z0I01YwokRoglmxvUE8nw
Athens Square,Astoria,40.7678385,-73.9222962,d60093f99bec5980c294bcb84aa914490ff9cfd0,ChIJhfD2u0dfwokR7KU4zH3o3Z8
Auburndale Playground,Flushing,40.7658583,-73.7942082,1e910d1d3059f6e9f7e94e8456f288d038282fe7,ChIJycPVL9VhwokRdaLkrH1hdtM
Augustus St. Gaudens Playground,"2nd Avenue, New York",40.7356292,-73.9823601,2c42b4f30d8b78f3f2aa0c27b76ff4067de42e0f,ChIJ_W0brgpZwokR4EJOoF2h260
B.C.C.A. Mini-Park and Garden,"115th Drive, Jamaica",40.6833121,-73.7920482,b6aa5d896ba16f0f99dfb1fc34d16171bf85bd1d,ChIJuT-C1dVmwokRe1A_EzEqc2Y
Bailey Playground,"Major Deegan Expressway, Bronx",40.8819128,-73.9001578,806127c0c74c0bc3f43067aee5b7ae46147b2043,ChIJDXXquaLzwokRlaXt6kPefeo
Balsley Park,"9th Avenue, New York",40.7674644,-73.9858495,3b86d47c9a15c02da2ce708a388907ebed56b029,ChIJT11_U1hYwokR2e6OwlZoOHY
Bam Park,Brooklyn,40.6871362,-73.9770341,0c0b6b9c2d8754883cac829204dd9372100455d7,ChIJX_wwgbFbwokRhxEJt1cwFiw
Bandshell Picnic Tables,"48- USA, 58 Brooklyn-Queens Greenway, New York",40.6639533,-73.9753608,5796d3d44de693f46711ba9407316dfa2d66f5d0,ChIJI9lxPhtbwokRMzyWwXJoz-Y
Banneker Playground,"Kosciuszko Street, Brooklyn",40.6904445,-73.9486568,1354351ceb4e4bfb4bbf53e558623aa11f4a5617,ChIJdx75tpJbwokRXHqKdX_xIyA
Barclays Center parking,"Department of Motor Vehicles, 625 Atlantic Avenue, New York",40.6845205,-73.9759904,14e11358e1e1b4b92ef0622a1c76f7c0a9995779,ChIJr6FdGa5bwokRtEvtx7incMo
Barretto Park,"Spofford Avenue, Bronx",40.8128284,-73.8887202,998086ca810e1f526959d9381603fcb87e90b739,ChIJV67vhgf1wokROaZhp3q9fTw
Barretto Point Park,"Tiffany Street, Bronx",40.8055235,-73.8885824,9d7bd647e4124499afe149dc78bd95cc1c5085d1,ChIJLXTOHAr1wokRlxL_AUATemc
Barrier Playground,"Horace Harding Expressway, Rego Park",40.7362906,-73.8548628,5bed61b56027a121620a2c734c77d4e6d4229557,ChIJ04yBtzJewokRgPYxdEkFmPg
Barry Plaza,"Anthony Avenue, Bronx",40.8432226,-73.9048429,4ba0d8945181846fdf19910e26b54c3797b5654e,ChIJvzQM3Gn0wokRBqTVqfj6GcU
Bartel-Pritchard Square,"Prospect Park Southwest, Brooklyn",40.6609383,-73.979789,f8fc2ad1adbdb140fab39e58f21340ed726eff28,ChIJi-GDKxxbwokRfRWQnv3oPKg
Bartlett Playground,"Whipple Street, Brooklyn",40.7008946,-73.9460852,2435895b1de877b7fd5352fc39a615a85e12513b,ChIJZVCvmfpbwokRjTZHGtAQnq8
Baruch Playground,"Baruch Place, New York",40.7173301,-73.9769423,fe0bbc364a6c99ab4c0fa3ba3193ed82d987de78,ChIJYWpxK3xZwokR8w-k8I-zMX4
Base Camp,"55 Emerald Court, Staten Island",40.5217022,-74.2250148,4a13410e1faf7d850b90094078f20771575b5fbb,ChIJ2TfB4VG1w4kR29joFZ807hA
Basil Behagen Playground,"Tinton Avenue, Bronx",40.8253722,-73.9012602,fb73efe2a7eccfb5a21e4b0383b9009fe648a6bf,ChIJ73HKhE30wokRGjKFOTmG1B8
Bathgate Community Garden,"Bathgate Community Garden, 1818 Bathgate Avenue, New York",40.8448453,-73.8978612,50d7280c5729faf88a4e8c305128c56776e7cd40,ChIJUWFvWGb0wokRyVdg_4I7XjM
Bathgate Playground,"Washington Avenue, Bronx",40.852731,-73.8942783,611eae3bd0944ca8ffa135f2247c76faf8235080,ChIJOTghm3z0wokRe5pxiUtTxXY
Battery Park,New York,40.7032775,-74.0170279,58fc4a0c3ef0ffc426a52c0ea131e1bd7b8d7084,ChIJraKL-BJawokREpxDmF5GcL4
Battery Park Authority,"200 North End Avenue, New York",40.7157878,-74.0148234,35a38c9f0fe00b4963307ee380cb5eca9383fb2a,ChIJZbqIZBxawokRAYGv0rjZORo
Battery Park City soccer fields,"201 Warren Street, New York",40.7169691,-74.0137172,b7ec51357bab3d1119520233b15927f0b1663d3a,ChIJkZtlPxxawokRJvtm9H0JmPc
Bay 8th Street Field 1,"800 Poly Place, Brooklyn",40.6067735,-74.0211844,c04f36cc96c44001e97bf9c45c45feab8f356cbe,ChIJmeh0gnlFwokRyxHYMQ6RLm8
Bay Terrace Playground,Bayside,40.7822944,-73.7776628,1e63debd8c7c112f0f24b962decf3f4ed5cbc478,ChIJnZz0eGmKwokRpjjTPejM2lE
Baybridge Green,"Interstate 295, Bayside",40.78374,-73.785568,29b66880af39b4c81529080277c15b8b359418ce,ChIJ27C5VGaKwokRwzJBRKnMFeA
Bayside Fields,Bayside,40.7710086,-73.784963,2e7841c3fe1bb056d4a8ad212217485d162dbe6b,ChIJa7eVMHqKwokRHo_RdIM-NN4
Bayside Fields,Bayside,40.7719029,-73.7852922,38dd218c447f1a65a8dcc9ba45cb0a334e0e4974,ChIJb5yVMHqKwokRMp0FknTtjnc
Bayside Yard,"40-30 219th Street, New York",40.7641148,-73.7641758,9bd7bdf97d198884cdd6e433f9cab8487f3f71a7,ChIJu8QF6QmKwokRrC79zFO33ew
Bayview Terrace Park,"Bayview Terrace, Staten Island",40.5268953,-74.1635395,0f3779c415a6f6a1aa2605f4dc0930dcc9029cea,ChIJC-iUalxKwokRMUwmrYJIiqQ
Bbq spot,New York,40.8446834,-73.9457409,50ffc532722daed2fa8ab5f5985b99f7c58428e7,ChIJh1hRlpn2wokRr8uoZGFr4B8
Beach 9 Playground,"Boardwalk, Far Rockaway",40.5956904,-73.7446598,b1424e2d3d220c51b2f666619a39d9f555cb2685,ChIJaaT3plNvwokR97CfiyiZLh4
Beach Channel Park,"Beach Channel Drive, Rockaway Park",40.5816339,-73.8425955,a6327d15ccc91b79c9bc0b7a5f35f9dea5c79a1e,ChIJm9ci-IFCwokRu9cYmEgrCuE
Beanstalk Playground,"West Burnside Avenue, Bronx",40.8538639,-73.9167848,d393f9c4a146654a843d1a2dd643c56cee4bf66c,ChIJHbRscxL0wokRmfu2dszjr18
Beattie Square,"Stuyvesant Avenue, Brooklyn",40.6964345,-73.9345585,a44328ed737ed67ef2db3ae572c9ef757fda263e,ChIJ9Rp_SghcwokRM1GQOFRzhHk
Beatty Plaza,"E 169th St Franklin Ave, Bronx",40.8315844,-73.9018573,157d1c508265f5f6c3fd3ffedd8eac58a85888c8,ChIJCwyG7k_0wokR7fVSmkvTiT8
Bedford Stuyvesant Community Garden,"94 A / 95 Malcolm X Boulevard, Brooklyn",40.6904089,-73.9303563,649bd92ca1985d105ec581af3fc91fd62c89fb26,ChIJTw0sfAtcwokR2SPUYPrvCyA
Bell Malls,"215th Street, Bayside",40.7522196,-73.7640118,5468b4b0f0113343e2faf173a85fcca00bbb33d6,ChIJxZZmO-9hwokR-oppH12XdEo
Bell Tower Park,Bronx,40.8893168,-73.9083337,5e17754b26ce3963ba0224d026a2cca3855e7ea2,ChIJX3Y-ErnzwokRypketPDHtW8
Bellaire Playground,"208th Street, Queens Village",40.7215183,-73.7578984,16f69b902154278bb0c321979ee82049cce8f5ca,ChIJwV0SQHhhwokRzEFbhbM7FLw
Bellevue South Park,"East 26-East 28 Mount Carmel Place, New York",40.740035,-73.9780442,7cd3fc8078fde701436bb6691b9d73b66a11738f,ChIJg3mzWwlZwokRlegfYeZecEk
Benenson Ornamental Conifers,"Bronx Park Road, Bronx",40.8574992,-73.8759038,2ed13182595508065ad2642e8bc8d8ea29fcb06e,ChIJvaDXaZ30wokRJefokbTVSmg
Benjamin Gladstone Square,Bronx,40.825335,-73.891017,4dc4ff190e87975ea887d88693fdb5dfad110aed,ChIJe1S42lX0wokRyrInXuxPM9g
Bennett Park,"Ft Washington Av, W 183 St, Pinehurst Av Manhattan, New York",40.8528053,-73.9380028,dd7956dfa9079598e9b010696ef74dc39df6eccb,ChIJTbE1MKf2wokRmmwnWT7_t4c
Benninger Playground,Ridgewood,40.707129,-73.8982286,1b427df2a72e18a67018e41e73b28d6d1eb50058,ChIJ3YuqDYNewokROT7jza2knSM
Bergen Street Garden,"Bergen Street, Brooklyn",40.6760897,-73.949452,e03aaa85a8d168da11660b5f816d868cae2779ed,ChIJL5tGnpxbwokRfdKYCcpRV6Y
Berry Playground,"106 South 3rd Street, Brooklyn",40.7127092,-73.9634429,f7f8e81d7126f7ff940dd2a3de3a8e9536b894a2,ChIJtyg4Yt9bwokRrb8_pJuiUUw
Berry Street Garden,"301 Berry Street, Brooklyn",40.7133984,-73.9636725,9cae776d0cc584f545c57c17920e842ccb944863,ChIJfY3I3GFZwokRPp6Bh_3BQWw
Betsy Head Park,"Dumont Avenue, Brooklyn",40.6646726,-73.9118989,eb34fc2acf5c09a60f12b49c168334e4fc22706a,ChIJPXIzPotcwokRHbQm99oqHnU
Big Bush Park,Woodside,40.7395042,-73.90273,ddd5a3c8f0c5d30a3821bc6d8368c8909d7cba71,ChIJv1jibuNewokRK0FqKaXtxAs
Big Red Garden,"Blake Avenue, Brooklyn",40.6686919,-73.889547,70111cf800580a860cb56326cc2a2424203e69ab,ChIJcXfwSFNcwokR9V6wTIGtGXI
Bike Central Park Inc,New York,40.7601958,-73.9933668,1cf605abffbcea98f9a30cf63fb18bbba4d6f70a,ChIJq6qqak5YwokR0avgu5ekaQo
Bill Brown Playground,"Bedford Avenue, Brooklyn",40.5922828,-73.9457178,458c317748b501bb2728e1be811bdaea334c1629,ChIJMz4tkIdEwokRz21sps-XN_M
Billie Cohen Ltd. Landscape Design Studio,"105 Bowery, New York",40.7175749,-73.9948859,6bf5218c2b58b827a9b6b54ba4c49e2d8471eace,ChIJizkyB4hZwokRyD61MD9vKLw
Billionaire's Row,"345 West 58th Street, New York",40.7687435,-73.9845018,289457599159e37fbc4626fdb29e0e88852beee3,ChIJ4z7W6lhYwokRHAtQNA9HfLY
Bill's Ozone Park Cyclery LLC,"8750 111th Street, Richmond Hill",40.695409,-73.83689,4cae83ced41a3459bc2f82509e3e40ecafd8eda1,ChIJiY1cRatgwokRFEn1c76_OnA
Bird Feeder Area,New York,40.7770104,-73.96849,8d4aa5462909d4aa17bbc995943253da35de12f3,ChIJsTv2MpJYwokR-aVowkG0JI8
Bloessers Pond State Wetland Conservation Area,Staten Island,40.5174271,-74.2094949,c189425310e9df0814a15cea0995f76f273dceb4,ChIJaXU-AK9KwokRaBFDn_TmkcA
Bloomingdale Park,Staten Island,40.5334003,-74.2105955,c32e1399fa4431d398189fb458dfaf2c49ed0153,ChIJnV9kHslKwokRPKUuDwlpPGA
Bluberry tree,"USA, Central Park, New York",40.7764412,-73.9744388,4d9f1472a0d58a68ad304ac2dfe105e91b1461b1,ChIJa5yOU4xYwokRBaZFAGYMV5c
Blue Belt Park,"Heenan Avenue, Staten Island",40.5436456,-74.1880774,03b984a30a481803cd8b7abfabe266dfca030d4a,ChIJ1xv-2eNKwokRAgHKZML9-XM
Blue Heron Park Nature Center,"222 Poillon Avenue, Staten Island",40.5308482,-74.1777878,ee1790bb7263b4891a09f11f1aba7c3e33b493f1,ChIJ7ZfK_PNKwokRnBcf8fSCbI0
Blue Heron Park Preserve,"Amboy Road, Staten Island",40.5314736,-74.1746396,4d5e556a46f694eb9c58046b60d28f2805aadc7f,ChIJC9PFqvdKwokRYNz1hJxcbqI
Bobby Redd,"626 Bushwick Avenue, Brooklyn",40.6978756,-73.9338069,f2bdacf18b3dbf5875d468bb79f72ccaa681b693,ChIJEZxDZQhcwokRoxnboXANmhw
Bodega Del Ringo Para La Basura,"66-25 103rd Street, Flushing",40.7291874,-73.8507102,5bd1f7a9af6906580a875d236e41db3d5c4d0611,ChIJxaDt-C5ewokRpk3QqzvcAqc
Boerum Park,"364 Warren Street, Brooklyn",40.684879,-73.990157,cb7fc3098e6062b75bf204fd8765c2e443a99ce2,ChIJNTgCmVFawokRRISDSiGrLGQ
